Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
   107    23.5316      784.93            -           M3  .     .    (0, a)          (0, a)          P222_1(#17)          III     
   108    23.5896      786.87            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   109    23.5896      786.87            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
   110    23.9389      798.52            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   111    23.9389      798.52            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
   112    31.6743     1056.54            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   113    31.6743     1056.54            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   114    31.8487     1062.36            -           M4  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
   115    31.8487     1062.36            -           M4  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
   116    32.0327     1068.50            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   117    32.0327     1068.50            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   118    32.4206     1081.43            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
   119    32.4206     1081.43            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
   120    32.4848     1083.57            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   121    32.4848     1083.57            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   122    32.5969     1087.32            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
   123    32.5969     1087.32            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
   124    32.9769     1099.99            -           M4  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
   125    32.9769     1099.99            -           M4  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
   126    33.2899     1110.43            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   127    33.2899     1110.43            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   128    34.9950     1167.31            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   129    34.9950     1167.31            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   130    35.4246     1181.64            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
   131    35.4246     1181.64            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
   132    35.6966     1190.71            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
   133    35.6966     1190.71            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
   134    36.0277     1201.76            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
   135    36.0277     1201.76            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
   136    36.0911     1203.87            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   137    36.0911     1203.87            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
   138    36.1773     1206.74            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
   139    36.1773     1206.74            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
   140    37.0422     1235.60            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
   141    37.0422     1235.60            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
   142    37.3240     1244.99            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   143    37.3240     1244.99            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       

# N point (Primitive coordinates)
# k_prim = [0.0000, 0.5000, -0.0000]
# k_BCS  = [0.5000, 0.0000, 0.5000]  (BCS label: N)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0    -1.0293      -34.33            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
     1    -0.7491      -24.99            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
     2     1.3475       44.95            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
     3     1.4729       49.13            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
     4     1.5620       52.10            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
     5     1.7232       57.48            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
     6     1.7596       58.69            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
     7     1.9426       64.80            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
     8     2.0264       67.59            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
     9     2.4204       80.73            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    10     2.5924       86.47            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    11     2.8295       94.38            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    12     2.9021       96.80            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    13     2.9561       98.60            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    14     2.9885       99.69            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    15     3.1032      103.51            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    16     3.5036      116.87            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    17     4.0260      134.29            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    18     4.1523      138.51            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    19     4.2426      141.52            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    20     4.4627      148.86            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    21     4.7471      158.35            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    22     5.1282      171.06            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    23     5.4185      180.74            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    24     5.5702      185.80            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    25     5.6446      188.28            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    26     5.9083      197.08            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    27     6.0352      201.31            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    28     6.2243      207.62            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    29     6.3509      211.84            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    30     6.5084      217.10            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    31     6.6129      220.58            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    32     6.7182      224.09            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    33     7.1043      236.97            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    34     7.3736      245.96            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    35     7.4707      249.20            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    36     7.6875      256.43            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    37     7.7630      258.95            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    38     7.8313      261.22            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    39     8.1206      270.88            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    40     8.1875      273.10            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    41     8.3272      277.76            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    42     8.4109      280.56            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    43     8.4823      282.94            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    44     8.8368      294.77            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    45     8.9057      297.06            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    46     8.9751      299.38            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    47     9.1614      305.59            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    48     9.3085      310.50            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    49     9.3315      311.27            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    50     9.3403      311.56            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    51     9.5238      317.68            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    52     9.6468      321.78            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    53     9.8574      328.81            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    54     9.8721      329.30            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    55     9.9832      333.00            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    56    10.0880      336.50            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    57    10.2141      340.71            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    58    10.5398      351.57            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    59    10.7119      357.31            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    60    10.7465      358.47            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    61    11.0812      369.63            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    62    11.1731      372.69            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    63    11.3999      380.26            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    64    11.4537      382.05            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    65    11.5146      384.09            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    66    11.8125      394.02            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    67    11.8227      394.36            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    68    11.8613      395.65            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    69    11.8665      395.82            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    70    12.2541      408.75            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    71    12.3614      412.33            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    72    12.4108      413.98            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    73    12.6241      421.09            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    74    12.9728      432.73            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    75    13.0352      434.81            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    76    13.0405      434.98            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    77    13.0747      436.13            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    78    13.2178      440.90            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    79    13.7551      458.82            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    80    13.8754      462.83            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    81    13.8941      463.46            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    82    14.1228      471.08            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    83    15.6323      521.44            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    84    16.1042      537.18            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    85    16.5145      550.86            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    86    16.6998      557.04            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    87    17.1378      571.66            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    88    17.8869      596.64            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    89    18.2886      610.04            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    90    18.3341      611.56            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    91    19.0164      634.32            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    92    19.4379      648.38            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    93    20.5778      686.40            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    94    21.1210      704.52            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
    95    21.9339      731.64            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
    96    22.7356      758.38            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    97    22.7722      759.60            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
    98    23.0140      767.67            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
    99    23.0318      768.26            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   100    23.0517      768.92            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   101    23.1083      770.81            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   102    23.1798      773.19            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   103    23.2137      774.32            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   104    23.3153      777.71            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   105    23.4420      781.94            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   106    23.5015      783.92            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   107    23.6678      789.47            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   108    23.6838      790.01            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   109    23.8476      795.47            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   110    23.9281      798.16            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   111    23.9391      798.52            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   112    31.7049     1057.56            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   113    31.7427     1058.82            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   114    31.7540     1059.20            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   115    31.8936     1063.86            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   116    32.0352     1068.58            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   117    32.1458     1072.27            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   118    32.2369     1075.31            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   119    32.4101     1081.08            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   120    32.5451     1085.59            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   121    32.9468     1098.99            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   122    32.9631     1099.53            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   123    32.9781     1100.03            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   124    33.0009     1100.79            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   125    33.4324     1115.19            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   126    33.4500     1115.77            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   127    33.9079     1131.04            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   128    34.2808     1143.48            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   129    34.4189     1148.09            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   130    35.0524     1169.22            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   131    35.1217     1171.53            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   132    35.1843     1173.62            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   133    35.2342     1175.29            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   134    35.5892     1187.13            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   135    35.7502     1192.50            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   136    35.9477     1199.08            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   137    36.1131     1204.60            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   138    36.2823     1210.25            -          N2+  .     .    (a)             (a)             C2/c(#15)            -       
   139    36.4374     1215.42            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   140    36.5699     1219.84            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       
   141    36.8632     1229.62            -          N2-  .     .    (a)             (a)             C2/m(#12)            -       
   142    36.8646     1229.67            -          N1-  .     .    (a)             (a)             C2/c(#15)            -       
   143    37.7998     1260.87            -          N1+  .     .    (a)             (a)             C2/m(#12)            -       

# P point (Primitive coordinates)
# k_prim = [0.2500, 0.2500, 0.2500]
# k_BCS  = [0.5000, 0.5000, 0.5000]  (BCS label: P)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0     0.7722       25.76            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
     1     0.7722       25.76            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
     2     1.0277       34.28            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
     3     1.0277       34.28            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
     4     1.8847       62.87            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
     5     1.8847       62.87            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
     6     1.9655       65.56            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
     7     1.9655       65.56            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
     8     2.0951       69.88            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
     9     2.0951       69.88            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    10     2.1639       72.18            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    11     2.1639       72.18            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    12     2.6224       87.47            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    13     2.6224       87.47            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    14     3.0064      100.28            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    15     3.0064      100.28            -        P1/P2  .     .    -               (0, a)          I-42m(#121)          -       
    16     3.9376      131.35            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    17     3.9376      131.35            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    18     4.1431      138.20            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    19     4.1431      138.20            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    20     4.9379      164.71            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    21     4.9379      164.71            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    22     5.3624      178.87            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    23     5.3624      178.87            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    24     5.5812      186.17            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    25     5.5812      186.17            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    26     5.9041      196.94            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    27     5.9041      196.94            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    28     6.5209      217.51            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    29     6.5209      217.51            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    30     6.6642      222.29            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    31     6.6642      222.29            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    32     7.5085      250.46            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    33     7.5085      250.46            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    34     7.5331      251.28            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    35     7.5331      251.28            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    36     7.8493      261.82            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    37     7.8493      261.82            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    38     7.8730      262.61            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    39     7.8730      262.61            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    40     8.0247      267.68            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    41     8.0247      267.68            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    42     8.3769      279.42            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    43     8.3769      279.42            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    44     8.7563      292.08            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    45     8.7563      292.08            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    46     9.1520      305.28            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    47     9.1520      305.28            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    48     9.2095      307.20            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    49     9.2095      307.20            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    50     9.2721      309.28            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    51     9.2721      309.28            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    52     9.5912      319.93            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    53     9.5912      319.93            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    54     9.7271      324.46            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    55     9.7271      324.46            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    56    10.6323      354.66            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    57    10.6323      354.66            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    58    10.7356      358.10            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    59    10.7356      358.10            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    60    11.1711      372.63            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    61    11.1711      372.63            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    62    11.4307      381.29            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    63    11.4307      381.29            -        P1/P2  .     .    -               (0, a)          I-42d(#122)          -       
    64    11.5396      384.92            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    65    11.5396      384.92            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    66    11.5961      386.81            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    67    11.5961      386.81            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    68    12.1030      403.71            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    69    12.1030      403.71            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    70    12.1731      406.05            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    71    12.1731      406.05            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    72    12.7491      425.27            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    73    12.7491      425.27            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    74    12.9835      433.08            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    75    12.9835      433.08            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    76    13.0843      436.44            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    77    13.0843      436.44            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    78    13.3412      445.01            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    79    13.3412      445.01            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    80    13.8111      460.69            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    81    13.8111      460.69            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    82    13.9221      464.39            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    83    13.9221      464.39            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    84    16.3328      544.80            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    85    16.3328      544.80            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    86    16.6512      555.43            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    87    16.6512      555.43            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    88    17.8144      594.23            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    89    17.8144      594.23            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    90    18.8264      627.98            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    91    18.8264      627.98            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
    92    20.5470      685.37            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    93    20.5470      685.37            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
    94    20.7977      693.74            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    95    20.7977      693.74            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    96    22.9014      763.91            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    97    22.9014      763.91            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
    98    23.0789      769.83            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
    99    23.0789      769.83            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   100    23.1674      772.78            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
   101    23.1674      772.78            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   102    23.3784      779.82            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   103    23.3784      779.82            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
   104    23.5579      785.81            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
   105    23.5579      785.81            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   106    23.6244      788.03            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   107    23.6244      788.03            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
   108    23.7445      792.03            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   109    23.7445      792.03            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
   110    23.7787      793.17            -           P2  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   111    23.7787      793.17            -           P2  .     .    (a, 0)          (0, a)          P1(#1)               III     
   112    31.7491     1059.03            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
   113    31.7491     1059.03            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   114    31.8040     1060.87            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
   115    31.8040     1060.87            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   116    32.3480     1079.01            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
   117    32.3480     1079.01            -        P1/P2  .     .    -               (0, a)          I-4(#82)             -       
   118    32.4572     1082.65            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   119    32.4572     1082.65            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
   120    32.6896     1090.41            -           P1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
   121    32.6896     1090.41            -           P1  .     .    (a, 0)          (0, a)          P1(#1)               III     
   122    33.2682     1109.71            -        P1/P2  .     .    -               (a, 0)          I-4(#82)             -       
