Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    58    10.1285      337.85          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
    59    10.6089      353.88          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
    60    11.1402      371.60           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    61    11.1402      371.60           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    62    11.4357      381.45           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    63    11.4357      381.45           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    64    11.4919      383.33          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    65    11.5325      384.68          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
    66    11.5593      385.58          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
    67    11.6165      387.49           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    68    11.6165      387.49           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    69    12.1796      406.27          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    70    12.2946      410.10          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
    71    12.3566      412.17           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    72    12.3566      412.17           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    73    12.3638      412.41          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
    74    12.5261      417.82          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
    75    13.0302      434.64          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
    76    13.0533      435.41          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
    77    13.1475      438.55           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    78    13.1475      438.55           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    79    13.1617      439.03          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
    80    13.6355      454.83          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
    81    14.8591      495.65          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
    82    15.1963      506.90          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
    83    15.7489      525.33           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    84    15.7489      525.33           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    85    16.5551      552.22           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    86    16.5551      552.22           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    87    17.5036      583.86          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    88    17.5870      586.64          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
    89    19.2274      641.36           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    90    19.2274      641.36           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    91    19.5322      651.53           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    92    19.5322      651.53           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    93    19.5614      652.50          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    94    20.3586      679.09          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
    95    22.6280      754.79           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    96    22.6280      754.79           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    97    22.9415      765.25          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
    98    22.9797      766.52          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    99    23.0023      767.27          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
   100    23.0402      768.54           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   101    23.0402      768.54           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   102    23.1197      771.19          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
   103    23.1960      773.73           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
   104    23.1960      773.73           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
   105    23.2084      774.15          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
   106    23.3514      778.92          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
   107    23.3919      780.27           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   108    23.3919      780.27           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   109    23.9900      800.22          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
   110    24.0194      801.20          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
   111    24.1140      804.36          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
   112    31.5807     1053.42          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
   113    31.8367     1061.96          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
   114    31.8393     1062.05          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
   115    31.8696     1063.06           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   116    31.8696     1063.06           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   117    32.2500     1075.75          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
   118    32.2811     1076.78           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
   119    32.2811     1076.78           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
   120    32.3001     1077.41          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
