Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    58     8.8110      293.90           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    59     8.8110      293.90           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    60     9.2853      309.73          A2u         GM3-  Y     .    (a)             (a)             I4_1cd(#110)         -       
    61    11.0010      366.95           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    62    11.0010      366.95           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    63    11.0046      367.07           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    64    11.0046      367.07           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    65    12.4212      414.33          B1g         GM2+  .     Y    (a)             (a)             Ibca(#73)            -       
    66    12.5224      417.70          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    67    12.5240      417.75          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    68    14.1063      470.54          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    69    14.1068      470.55          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    70    14.2901      476.67          A2u         GM3-  Y     .    (a)             (a)             I4_1cd(#110)         -       
    71    15.3854      513.20          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
    72    15.3869      513.25          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
    73    16.8118      560.78          B1g         GM2+  .     Y    (a)             (a)             Ibca(#73)            -       
    74    17.5181      584.34          A1g         GM1+  .     Y    (a)             (a)             I4_1/acd(#142)       -       
    75    17.6287      588.03           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    76    17.6287      588.03           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    77    17.6311      588.11           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    78    17.6311      588.11           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    79    19.1279      638.04          B2u         GM4-  .     .    (a)             (a)             I-4c2(#120)          -       
    80    19.7360      658.32          A2u         GM3-  Y     .    (a)             (a)             I4_1cd(#110)         -       
    81    19.7423      658.53          B1g         GM2+  .     Y    (a)             (a)             Ibca(#73)            -       
    82    24.8935      830.36            -         GM2-  .     .    -               (a)             I-42d(#122)          -       
    83    24.8935      830.36            -         GM2-  .     .    -               (a)             I-42d(#122)          -       

# M point (Primitive coordinates)
# k_prim = [0.5000, 0.5000, 0.5000]
# k_BCS  = [1.0000, 1.0000, 1.0000]  (BCS label: M)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0    -2.3990      -80.02            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
     1    -2.3990      -80.02            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
     2    -0.3765      -12.56            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
     3    -0.3765      -12.56            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
     4     0.8069       26.91            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
     5     0.8069       26.91            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
     6     1.0622       35.43            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
     7     1.0622       35.43            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
     8     1.1107       37.05            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
     9     1.1107       37.05            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    10     1.7703       59.05            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    11     1.7703       59.05            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
