Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     4     2.5496       85.05            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
     5     2.5496       85.05            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
     6     2.5496       85.05            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
     7     2.5496       85.05            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
     8     2.9123       97.14            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
     9     2.9123       97.14            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    10     2.9123       97.14            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    11     2.9123       97.14            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    12     3.3261      110.95            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    13     3.3261      110.95            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    14     3.3261      110.95            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    15     3.3261      110.95            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    16     3.6048      120.24            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    17     3.6048      120.24            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    18     3.6048      120.24            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    19     3.6048      120.24            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    20     3.8825      129.51            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    21     3.8825      129.51            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    22     3.8825      129.51            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    23     3.8825      129.51            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    24     4.2783      142.71            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    25     4.2783      142.71            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    26     4.2783      142.71            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    27     4.2783      142.71            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    28     4.6608      155.47            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    29     4.6608      155.47            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    30     4.6608      155.47            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    31     4.6608      155.47            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    32     5.3832      179.56            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    33     5.3832      179.56            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    34     5.3832      179.56            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    35     5.3832      179.56            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    36     5.6987      190.09            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    37     5.6987      190.09            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    38     5.6987      190.09            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    39     5.6987      190.09            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    40     6.5132      217.26            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    41     6.5132      217.26            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    42     6.5132      217.26            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    43     6.5132      217.26            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    44     6.7835      226.27            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    45     6.7835      226.27            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    46     6.7835      226.27            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    47     6.7835      226.27            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    48     6.8328      227.92            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    49     6.8328      227.92            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    50     6.8328      227.92            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    51     6.8328      227.92            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    52     8.2191      274.16            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    53     8.2191      274.16            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    54     8.2191      274.16            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    55     8.2191      274.16            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    56     9.8069      327.12            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    57     9.8069      327.12            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    58     9.8069      327.12            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    59     9.8069      327.12            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    60    10.5134      350.69            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    61    10.5134      350.69            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    62    10.5134      350.69            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    63    10.5134      350.69            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    64    11.4031      380.37            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          P1(#1)               III     
    65    11.4031      380.37            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          P1(#1)               III     
    66    11.4031      380.37            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          P1(#1)               III     
    67    11.4031      380.37            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          P1(#1)               III     
    68    14.8306      494.69            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    69    14.8306      494.69            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    70    14.8306      494.69            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    71    14.8306      494.69            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    72    15.3578      512.28            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    73    15.3578      512.28            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
    74    15.3578      512.28            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
    75    15.3578      512.28            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    76    18.8339      628.23            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    77    18.8339      628.23            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    78    18.8339      628.23            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    79    18.8339      628.23            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
    80    22.3926      746.94            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    81    22.3926      746.94            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
    82    22.3926      746.94            -        P1+P2  .     .    (0, a, 0, 0)    (0, a)          I-4(#82)             -       
    83    22.3926      746.94            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       

# X point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.5000]
# k_BCS  = [0.5000, 0.5000, 0.0000]  (BCS label: X)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0     2.1204       70.73            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
     1     2.1204       70.73            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
     2     2.3575       78.64            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
     3     2.3575       78.64            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
     4     2.4142       80.53            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
     5     2.4142       80.53            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
     6     2.6269       87.62            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
     7     2.6269       87.62            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
     8     2.8727       95.82            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
     9     2.8727       95.82            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    10     2.9767       99.29            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    11     2.9767       99.29            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    12     3.2234      107.52            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    13     3.2234      107.52            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    14     3.4151      113.92            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    15     3.4151      113.92            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    16     3.6002      120.09            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    17     3.6002      120.09            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    18     3.6360      121.28            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    19     3.6360      121.28            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    20     3.7772      125.99            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    21     3.7772      125.99            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    22     3.9564      131.97            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    23     3.9564      131.97            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    24     4.2518      141.83            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    25     4.2518      141.83            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    26     4.3071      143.67            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    27     4.3071      143.67            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    28     4.6539      155.24            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    29     4.6539      155.24            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    30     4.6675      155.69            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    31     4.6675      155.69            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    32     5.1392      171.43            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    33     5.1392      171.43            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    34     5.6031      186.90            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    35     5.6031      186.90            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    36     5.6153      187.30            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    37     5.6153      187.30            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    38     5.7445      191.61            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    39     5.7445      191.61            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    40     6.5093      217.13            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    41     6.5093      217.13            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    42     6.5177      217.41            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    43     6.5177      217.41            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    44     6.7805      226.17            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    45     6.7805      226.17            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    46     6.7873      226.40            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    47     6.7873      226.40            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    48     6.8297      227.81            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    49     6.8297      227.81            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    50     6.8351      228.00            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    51     6.8351      228.00            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    52     8.2215      274.24            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    53     8.2215      274.24            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    54     8.2232      274.30            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    55     8.2232      274.30            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    56     9.6566      322.11            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    57     9.6566      322.11            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    58     9.8781      329.50            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    59     9.8781      329.50            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    60    10.5206      350.93            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    61    10.5206      350.93            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    62    10.5284      351.19            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    63    10.5284      351.19            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    64    11.0671      369.16            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    65    11.0671      369.16            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    66    11.7610      392.31            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    67    11.7610      392.31            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    68    14.5870      486.57            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    69    14.5870      486.57            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    70    15.0280      501.28            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    71    15.0280      501.28            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    72    15.0438      501.81            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    73    15.0438      501.81            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    74    15.8006      527.05            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    75    15.8006      527.05            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    76    18.8030      627.20            -           X2  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    77    18.8030      627.20            -           X2  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_12_12(#92)        II-pair 
    78    18.8110      627.47            -           X1  .     .    (a, 0, a, 0)    (a, 0, a, 0)    P4_122(#91)          II-pair 
    79    18.8110      627.47            -           X1  .     .    (0, a, 0, a)    (0, a, 0, a)    P4_322(#95)          II-pair 
    80    22.3926      746.94            -         2*X2  .     .    (a, 0, 0, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    81    22.3926      746.94            -         2*X2  .     .    (a, -ia, 0, 0)  (0, a, 0, a)    P4_12_12(#92)        II-pair 
    82    22.3926      746.94            -         2*X2  .     .    (a, 0, 0, 0)    (a, 0, a, 0)    P4_32_12(#96)        II-pair 
    83    22.3926      746.94            -         2*X2  .     .    (0, a, 0, 0)    (0, a, 0, a)    P4_12_12(#92)        II-pair 

